elr,mileage,name,type,lat,lon
ACR,81.1254 - 81.1254,Minster Level Crossing LE,Authorised Access Point - Pedestrian,51.32932568,1.31461307
ACR,81.1265 - 81.1265,Minster-Station Rear,Authorised Access Point - Vehicle,51.32931265,1.31475571
ACR,81.1266 - 81.1266,Minster Level Crossing LE,Authorised Access Point - Pedestrian,51.32926046,1.31501038
ACR,81.1342 - 81.1342,Minster-Signalbox,Authorised Access Point - Vehicle,51.32925732,1.31575675
ACR,83.0228 - 83.0228,Minster/Ramsgate-Sevenscore AHB,Authorised Access Point - Pedestrian,51.32753526,1.34718954
ACR,83.0955 - 83.0955,Cliffsend TPH Ramsgate TP Hut,Authorised Access Point - Pedestrian,51.32912428,1.35640812
ACR,84.0086 - 84.0086,Minster/Ramsgate-Cliffsend AHB,Authorised Access Point - Pedestrian,51.33250792,1.36669218
ACR,84.1127 - 84.1127,Minster/Ramsgate-Bridge 1959B,Authorised Access Point - Pedestrian,51.3364783,1.37874419
ACR,85.0473 - 85.0473,Ramsgate Substation,Authorised Access Point - Pedestrian,51.33915119,1.39238283
ACR,85.074 - 85.074,Minster/Ramsgate-Manston Road,Authorised Access Point - Pedestrian,51.33961443,1.39594995
ACW,0 - 0,Acton Lane Bridge  ACW ,Authorised Access Point - Pedestrian,51.53538428,-0.25726777
ACW,0.005 - 0.005,Action Lane  ACW ,Authorised Access Point - Pedestrian,51.53507445,-0.25644764
ACW,0.0318 - 0.0318,Euro Terminal  ACW  & ACTON LANE FS,Authorised Access Point - Pedestrian,51.53330054,-0.25465401
ACW,0.0322 - 0.0322,EUROTERMINAL WILLESDEN NO7 JNC,Authorised Access Point - Vehicle,51.53326695,-0.25463223
ACW,0.0687 - 0.0687,ACTON CANAL WHARF SB ,Authorised Access Point - Pedestrian,51.53034032,-0.25460147
AFL,0.0565 - 0.0565,AINTREE,Authorised Access Point - Vehicle,53.47107834,-2.95916833
AFL,0.06 - 0.06,AINTREE STATION,Authorised Access Point - Vehicle,53.47107834,-2.95916833
AFR,118.0837 - 118.0837,Esso Fuel Terminal,Authorised Access Point - Vehicle,51.52470749,-2.68886074
AFR,117.0385 - 117.0385,"Chittening Under Bridge, Moorhouse Lane",Authorised Access Point,51.51812921,-2.66335167
AFR,116.1609 - 116.1609,"Caravan Park, Moorhouse Lane",Authorised Access Point,51.51528526,-2.65744462
AFR,116.0198 - 116.0198,Hallen Fuel Depot,Authorised Access Point - Pedestrian,51.5121965,-2.64045304
AFR,115.0757 - 115.0757,Former Site of Henbury Station,Authorised Access Point - Vehicle,51.51496978,-2.62474009
AFR,114.1441 - 114.1441,Fishpool Overbridge,Authorised Access Point - Pedestrian,51.51361042,-2.61140584
AFR,114.033 - 114.033,Charlton Tunnel North,Authorised Access Point - Pedestrian,51.51543703,-2.5972208
AFR,113.066 - 113.066,Brabazon Crossing,Authorised Access Point - Vehicle,51.51746183,-2.5790019
AFR,112.1556 - 112.1556,FILTON WEST RELAY ROOMS,Authorised Access Point - Vehicle,51.51660346,-2.56884521
AFR,112.0974 - 112.0974,"Blue Bridge, Filton Tip",Authorised Access Point - Vehicle,51.51581144,-2.55965528
AGW,0.0155 - 0.0155,POLICE CAR COMPOUND,Authorised Access Point - Road-Rail Machines,51.48390025,0.02285754
AHX,0.0052 - 0.0052,ALLERTON JN. S/BOX.  OFF SOUTHMEAD ROAD,Authorised Access Point - Pedestrian,53.35777713,-2.88785093
AJB,0.0737 - 0.0737,Fisherman s Lxing,Authorised Access Point - Pedestrian,51.35594917,-0.47204684
AJM1,145.0545 - 145.0545,Derwent Way,Authorised Access Point - Road-Rail Machines,53.14052308,-1.56498616
AJM1,145.0156 - 145.0156,CAWDOR WAY,Authorised Access Point - Vehicle,53.13907494,-1.55984353
AJM1,145.0072 - 145.0072,CAWDOR WAY,Authorised Access Point - Vehicle,53.13859595,-1.55914585
AJM1,143.1624 - 143.1624,Matlock Bath Station,Authorised Access Point - Pedestrian,53.12324392,-1.55706127
AJM1,144.1144 - 144.1144,UB28 Pic Tor Lane,Authorised Access Point - Pedestrian,53.13335282,-1.55604572
AJM1,144.143 - 144.143,Tunnel Holt Lane,Authorised Access Point - Pedestrian,53.13544719,-1.55602416
AJM1,143.126 - 143.126,Matlock Bath north of Willersley Tnl,Authorised Access Point - Pedestrian,53.12031859,-1.55601548
AJM1,143.022 - 143.022,Cromford Station,Authorised Access Point - Pedestrian,53.11335492,-1.5495884
AJM1,141.033 - 141.033,Holmesford Cottage,Authorised Access Point - Pedestrian,53.09487985,-1.5168085
AJM1,140.0736 - 140.0736,The Family Tree Cafe   ex.Derwent Hotel ,Authorised Access Point - Vehicle,53.0867829,-1.50638806
AJM1,140.0291 - 140.0291,Whatstandwell Station,Authorised Access Point - Pedestrian,53.08342082,-1.50418709
AJM1,140.013 - 140.013,Whatstandwell Water Works,Authorised Access Point - Pedestrian,53.08241629,-1.50257137
AJM1,138.0124 - 138.0124,Newbridge Lane Off A6  Ambergate South ,Authorised Access Point - Vehicle,53.05898296,-1.48180293
AJM1,138.02 - 138.02,Ambergate Station,Authorised Access Point - Pedestrian,53.05952946,-1.48137857
ALC1,0.0132 - 0.0132,ASTON HALL ROAD,Authorised Access Point - Pedestrian,52.50641223,-1.87376422
ALC1,0.066 - 0.066,Lichfield Road,Authorised Access Point - Pedestrian,52.51005005,-1.87085098
ALC1,0.1122 - 0.1122,Lichfield Road  Park Approach ,Authorised Access Point - Vehicle,52.51189605,-1.86552612
ALC1,1.0503 - 1.0503,Gravelly Hill Stn,Authorised Access Point - Pedestrian,52.51526744,-1.85283959
ALC1,2.0198 - 2.0198,Summer Road  Underbridge No. 10 ,Authorised Access Point - Pedestrian,52.52560511,-1.843094
ALC1,2.0671 - 2.0671,Erdington Stn,Authorised Access Point - Pedestrian,52.52866812,-1.83915752
ALC1,2.1385 - 2.1385,Chester Road Industrial Estate,Authorised Access Point - Vehicle,52.53368387,-1.83411623
ALC1,2.1694 - 2.1694,HILL HOOK LAND,Authorised Access Point - Pedestrian,52.53600082,-1.83238238
ALC1,4.0022 - 4.0022,Wilkinson Close,Authorised Access Point - Pedestrian,52.55114694,-1.83105563
ALC1,4.1584 - 4.1584,Sutton Coldfield Station Car Park,Authorised Access Point - Vehicle,52.56354647,-1.82625907
ALC1,4.1584 - 4.1584,SUTTON COLDFIELD STATION CAR PARK,Authorised Access Point - Pedestrian,52.56422962,-1.82619736
ALC1,4.1584 - 4.1584,Sutton Coldfield Station Access Point,Authorised Access Point - Road-Rail Machines,52.56422962,-1.82619736
ALC2,10.0836 - 10.0836,Admiral Parker Drive,Authorised Access Point - Vehicle,52.6364549,-1.84605244
ALC2,10.11 - 10.11,Shenstone Station,Authorised Access Point - Pedestrian,52.63850306,-1.8448778
ALC2,8.0362 - 8.0362,Blake Street Stn,Authorised Access Point - Pedestrian,52.60473167,-1.84473548
ALC2,8.0155 - 8.0155,Shelley Drive,Authorised Access Point - Vehicle,52.60310899,-1.8440428
ALC2,09-Sep,Footherlay Lane  Underbridge No. 20 ,Authorised Access Point - Pedestrian,52.61580698,-1.84051217
ALC2,11.1496 - 11.1496,Watling Street  Underbridge No. 33 ,Authorised Access Point - Pedestrian,52.65567431,-1.83859305
ALC2,7.0639 - 7.0639,Butlers Lane Stn,Authorised Access Point - Pedestrian,52.59308089,-1.83876546
ALC2,12.0352 - 12.0352,Birmingham Road  A5127   Underbridge No. 35 ,Authorised Access Point - Pedestrian,52.6599653,-1.83414187
ALC2,12.1162 - 12.1162,Berry Hill Farm Bridge  Overbridge No. 37 ,Authorised Access Point - Pedestrian,52.66622681,-1.83108699
ALC2,13.0463 - 13.0463,Summerfield Bridge  Underbridge No. 40 ,Authorised Access Point - Pedestrian,52.67485567,-1.83022562
ALC2,6.1174 - 6.1174,The Fordrough  Overbridge No. 11 ,Authorised Access Point - Pedestrian,52.58458859,-1.83010195
ALC2,6.044 - 6.044,"Station Drive, Four Oaks",Authorised Access Point - Vehicle,52.57876807,-1.82732054
ALC2,5.088 - 5.088,Boswell Road  Underbridge No. 6 ,Authorised Access Point - Pedestrian,52.57010564,-1.81789699
AMB,16 - 16,St Andrews Signal Box,Authorised Access Point,51.50451348,-2.70084511
AMB,15.0679 - 15.0679,St. Andrews Road Station,Authorised Access Point - Pedestrian,51.51316404,-2.69619403
AMB,15.0022 - 15.0022,Iron Church Road,Authorised Access Point,51.51812799,-2.69456933
AMB,14.132 - 14.132,Docks Side of LPG Terminal,Authorised Access Point,51.52170066,-2.69253394
AMB,14.0774 - 14.0774,Esso Fuel Terminal,Authorised Access Point - Vehicle,51.524208,-2.68970363
AMB,12.1584 - 12.1584,"Severn Road, ICI Factory",Authorised Access Point,51.54479907,-2.67109505
AMB,11.1419 - 11.1419,Severn Beach Station,Authorised Access Point - Pedestrian,51.5599608,-2.66446591
AMJ,0.0347 - 0.0347,RICHMOND STREET,Authorised Access Point - Vehicle,53.49108684,-2.10852397
ANI1,52.0376 - 52.0376,Banff Bridge,Authorised Access Point - Pedestrian,57.55222227,-2.92700569
ANI1,48.1349 - 48.1349,"OLD GRANGE JUNCTION, OFF A95",Authorised Access Point - Vehicle,57.54120093,-2.83751285
ANI1,48.0134 - 48.0134,"OB 171 CAIRNIE, U/C ROAD OFF A95",Authorised Access Point - Vehicle,57.53279124,-2.82825624
ANI1,35.0262 - 35.0262,"OB 128, B9002 INSCH - HUNTLY ROAD",Authorised Access Point - Pedestrian,57.37020408,-2.78812793
ANI1,43.0323 - 43.0323,KINNOIR BRIDGE CLOSE BY O/B 150,Authorised Access Point - Pedestrian,57.47593641,-2.75989339
ANI1,32.0638 - 32.0638,"OB 118 LAIGHMUIR, OFF B9002",Authorised Access Point - Pedestrian,57.35563978,-2.73361978
ANI1,31.1537 - 31.1537,OB 117 WARDHOUSE APPROACH,Authorised Access Point - Pedestrian,57.35821494,-2.72185491
ANI1,31.1068 - 31.1068,OB 116 WEETS OF WARDHOUSE,Authorised Access Point - Pedestrian,57.35697593,-2.71513399
ANI1,30.0702 - 30.0702,"OB 113 GLANDERSTONE, OFF B9002",Authorised Access Point - Pedestrian,57.35081719,-2.68510485
ANI1,27.0872 - 27.0872,INSCH STATION,Authorised Access Point - Vehicle,57.33710275,-2.61581274
ANI1,26.0907 - 26.0907,OB 105 GREENINCHES FARM ROAD,Authorised Access Point - Pedestrian,57.33009866,-2.5930268
ANI1,25.1738 - 25.1738,TOLL OF DAIES O/B 104 / DAIES OYNE FORK,Authorised Access Point - Road-Rail Machines,57.32643379,-2.58067216
ANI1,25.1278 - 25.1278,LAMINGTON FARM,Authorised Access Point - Pedestrian,57.32531999,-2.57399883
ANI1,22.089 - 22.089,"UB 93 CRAIGMILL, OFF A96",Authorised Access Point - Pedestrian,57.3186407,-2.4918433
ANI1,18.104 - 18.104,North of Inverurie  Throigh Farm ,Authorised Access Point - Pedestrian,57.29896803,-2.41045194
ANI1,16.1708 - 16.1708,INVERURIE YARD,Authorised Access Point - Road-Rail Machines,57.28773896,-2.37465145
ANI1,16.1708 - 16.1708,INVERURIE YARD,Authorised Access Point - Road-Rail Machines,57.28773896,-2.37465145
ANI1,16.1651 - 16.1651,Inverurie Station,Authorised Access Point - Pedestrian,57.28730852,-2.37440487
ANI1,16.1651 - 16.1651,Inverurie Station,Authorised Access Point - Pedestrian,57.28731814,-2.37418931
ANI1,16.1455 - 16.1455,Inverurie Station,Authorised Access Point - Pedestrian,57.28592042,-2.37298073
ANI1,16.0947 - 16.0947,Old Port Road,Authorised Access Point - Vehicle,57.28204718,-2.37050325
ANI1,15.1171 - 15.1171,Port Elphinstone  Up ,Authorised Access Point - Pedestrian,57.26971146,-2.36456878
ANI1,15.1126 - 15.1126,Port Elphinstone  Down ,Authorised Access Point - Pedestrian,57.26934539,-2.36442254
ANI1,13.096 - 13.096,KINTORE STATION RRAP,Authorised Access Point - Road-Rail Machines,57.24432256,-2.35047172
ANI1,13.096 - 13.096,KINTORE STATION RRAP,Authorised Access Point - Road-Rail Machines,57.24432256,-2.35047172
ANI1,13.1266 - 13.1266,KINTORE STATION PLATFORM 1,Authorised Access Point - Pedestrian,57.24432256,-2.35047172
ANI1,13.1266 - 13.1266,KINTORE STATION PLATFORM 2,Authorised Access Point - Pedestrian,57.24432256,-2.35047172
ANI1,13.1092 - 13.1092,KINTORE STATION PLATFORM 2,Authorised Access Point - Pedestrian,57.24291354,-2.34999441
ANI1,13.1092 - 13.1092,KINTORE STATION PLATFORM 1,Authorised Access Point - Pedestrian,57.24291354,-2.34999441
ANI1,12.1711 - 12.1711,Boat of Kintore Level Crossing,Authorised Access Point - Pedestrian,57.23544453,-2.34004047
ANI1,12.1706 - 12.1706,Boat of Kintore Level Crossing,Authorised Access Point - Pedestrian,57.23545925,-2.33991139
ANI1,12.1691 - 12.1691,Boat of Kintore Level Crossing,Authorised Access Point - Pedestrian,57.23538661,-2.33986765
ANI1,12.1698 - 12.1698,Boat of Kintore Level Crossing,Authorised Access Point - Pedestrian,57.23538661,-2.33986765
ANI1,11.1593 - 11.1593,DALWEARIE FARM,Authorised Access Point - Pedestrian,57.22633398,-2.3177857
ANI1,11.1458 - 11.1458,The Rushlach Rd,Authorised Access Point - Pedestrian,57.22627353,-2.31576299
ANI1,11.0598 - 11.0598,Kirkton of Kinellar UWC,Authorised Access Point - Pedestrian,57.22855379,-2.30363194
ANI1,11.0604 - 11.0604,Kirkton of Kinellar UWC,Authorised Access Point - Pedestrian,57.22858711,-2.30359743
ANI1,10.0917 - 10.0917,OB51 Kinaldie,Authorised Access Point - Pedestrian,57.22810043,-2.28239996
ANI1,8.0102 - 8.0102,Pitmedden GSM-R,Authorised Access Point - Pedestrian,57.22472666,-2.22181236
ANI1,7.008 - 7.008,UB 44 Pitmeddan Road UB293/044,Authorised Access Point - Pedestrian,57.21663894,-2.20119664
ANI1,6.1311 - 6.1311,"RAITHS FARM, DYCE",Authorised Access Point - Pedestrian,57.21263208,-2.19809724
ANI1,6.0476 - 6.0476,Dyce Station,Authorised Access Point - Pedestrian,57.20637754,-2.19330821
ANI1,6.0493 - 6.0493,Dyce Station,Authorised Access Point - Pedestrian,57.20648541,-2.19325912
ANI1,6.0294 - 6.0294,Dyce Station,Authorised Access Point - Pedestrian,57.20494198,-2.19220823
ANI1,6.0315 - 6.0315,Dyce Station,Authorised Access Point - Pedestrian,57.20514861,-2.19219276
ANI1,5.0789 - 5.0789,Stoneywood Road,Authorised Access Point - Pedestrian,57.19563848,-2.1837354
ANI1,4.1097 - 4.1097,"MILLHILL BRAE, BANKHEAD",Authorised Access Point - Pedestrian,57.18431437,-2.17836868
ANI1,2.127 - 2.127,Great Northern Road UB 293/023 South,Authorised Access Point - Pedestrian,57.17304934,-2.13510188
ANI1,2.1266 - 2.1266,Great Northern Road UB 293/023 North,Authorised Access Point - Pedestrian,57.17309973,-2.13502434
ANI1,2.0186 - 2.0186,"HAYTON ROAD, HAYTON EAP4",Authorised Access Point - Pedestrian,57.17046509,-2.11971526
ANI1,2.019 - 2.019,ABERDEEN A SUBSTATION,Authorised Access Point - Pedestrian,57.17052978,-2.11970555
ANI1,2.0174 - 2.0174,Hayton Road UB 293/018 East,Authorised Access Point - Pedestrian,57.17044551,-2.11952503
ANI1,1.0591 - 1.0591,KITTYBREWSTER RRAP,Authorised Access Point - Road-Rail Machines,57.16048322,-2.11372301
ANI1,1.0057 - 1.0057,"LESLIE TERRACE, KITTYBREWSTER",Authorised Access Point - Vehicle,57.15620505,-2.11225207
ANI1,0.0669 - 0.0669,LOWER DENBURN,Authorised Access Point - Pedestrian,57.14806803,-2.10403716
ANI1,0.0328 - 0.0328,DENBURN,Authorised Access Point - Vehicle,57.14567877,-2.10152198
ANI2,0.01 - 0.01,Forres Station Platform 2 West Access,Authorised Access Point - Pedestrian,57.61065147,-3.62592009
ANI2,0.0275 - 0.0275,Forres Station Platform 1 Access,Authorised Access Point - Pedestrian,57.61065147,-3.62592009
ANI2,0.01 - 0.01,Forres Station Platform 1 West Access,Authorised Access Point - Pedestrian,57.61086775,-3.62537904
ANI2,0.0275 - 0.0275,Forres Station Platform 2 Access,Authorised Access Point - Pedestrian,57.61143124,-3.62291671
ANI2,0.0316 - 0.0316,Forres Station RRAP,Authorised Access Point - Road-Rail Machines,57.61155029,-3.62232107
ANI2,0.0651 - 0.0651,Mosset Park UWC,Authorised Access Point - Pedestrian,57.61276544,-3.61772484
ANI2,0.0967 - 0.0967,"CHRISTIES  NURSERY LC, OFF A96",Authorised Access Point - Vehicle,57.61414563,-3.6136278
ANI2,0.0966 - 0.0966,Forres East 677pts,Authorised Access Point - Vehicle,57.6140959,-3.61358207
ANI2,0.1604 - 0.1604,Bogton Nursery UWC,Authorised Access Point - Vehicle,57.61724574,-3.60574246
ANI2,2.067 - 2.067,"OB 3, B9011 ROAD, GRANGE HALL",Authorised Access Point - Pedestrian,57.62970227,-3.57311507
ANI2,6.1709 - 6.1709,"OB 10 ALVES OLD STATION, OFF A96",Authorised Access Point - Vehicle,57.63760751,-3.45061308
ANI2,7.1025 - 7.1025,OB 11 EASTER CLOVES,Authorised Access Point - Pedestrian,57.63911797,-3.43444445
ANI2,9.0208 - 9.0208,"OB 12 MOSSTOWIE ROAD, OFF A96",Authorised Access Point - Road-Rail Machines,57.64194537,-3.3941048
ANI2,11.163 - 11.163,Elgin Level Crossing - North,Authorised Access Point - Pedestrian,57.64261597,-3.31885501
ANI2,11.1647 - 11.1647,Elgin Level Crossing - South,Authorised Access Point - Pedestrian,57.64259197,-3.31883068
ANI2,12.0432 - 12.0432,Elgin Station Platform 1 West,Authorised Access Point - Pedestrian,57.64279213,-3.31227757
ANI2,12.0432 - 12.0432,Elgin Station Platform 2,Authorised Access Point - Pedestrian,57.64279213,-3.31227757
ANI2,16.171 - 16.171,LOCH NA BO RD  SCRAPHARD BRIDGE  O/B 40,Authorised Access Point - Pedestrian,57.62723573,-3.18942628
ANI2,18.0894 - 18.0894,ORBLISTON OLD STATION,Authorised Access Point - Pedestrian,57.60882047,-3.16628048
ANI2,18.092 - 18.092,ORBLISTON STREET,Authorised Access Point - Vehicle,57.60864845,-3.16603732
ANI2,19.0249 - 19.0249,OB 44 ORBLISTON,Authorised Access Point - Pedestrian,57.60019416,-3.16099622
ANI2,20.1501 - 20.1501,Orton,Authorised Access Point - Pedestrian,57.57565633,-3.15653948
ANI2,21.1709 - 21.1709,"B9015 ROAD, ORTON",Authorised Access Point - Pedestrian,57.5600895,-3.15230535
ANI2,25.0612 - 25.0612,"OB 62 MULBEN, U/C ROAD OFF A95",Authorised Access Point - Pedestrian,57.54334959,-3.07746492
ANI2,26.0771 - 26.0771,"OB 64 TAUCHERS ROAD, OFF A95",Authorised Access Point - Pedestrian,57.53627255,-3.05222985
ANI3,141.0772 - 141.0772,RAIGMORE,Authorised Access Point - Pedestrian,57.49181761,-4.16008195
ANI3,141.0526 - 141.0526,MILTON OF CULLODEN,Authorised Access Point - Pedestrian,57.49320159,-4.15733858
ANI3,139.1748 - 139.1748,Lower Cullernie Crossing,Authorised Access Point - Vehicle,57.50607836,-4.13223956
ANI3,138.133 - 138.133,"B9039 FORT GEORGE ROAD, NEWTON",Authorised Access Point - Pedestrian,57.51325852,-4.10187235
ANI3,138.0708 - 138.0708,"NEWTON, TRACK OFF B9039 ROAD",Authorised Access Point - Pedestrian,57.51635468,-4.09431453
ANI3,136.166 - 136.166,DALCROSS  2 ,Authorised Access Point - Pedestrian,57.52961936,-4.06382806
ANI3,136.166 - 136.166,DALCROSS  1 ,Authorised Access Point - Pedestrian,57.52961936,-4.06382806
ANI3,133.1055 - 133.1055,"OB 83 GOLLANFIELD HOUSE, OFF A96",Authorised Access Point - Pedestrian,57.55342981,-3.98771313
ANI3,133.0372 - 133.0372,GOLLANFIELD FLYOVER,Authorised Access Point - Road-Rail Machines,57.55511603,-3.97639723
ANI3,131.0124 - 131.0124,"KILDRUMMIE, U/C ROAD OFF B9091",Authorised Access Point - Pedestrian,57.56436895,-3.9229604
